"","specimen","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","Prey"
"24","Chiloscyllium_hasseltii",0.239050060831088,-0.00539970765575537,0.0317352457800198,-0.0384030160617048,-0.0306186159183506,-0.0180898705727885,-0.0281635537899047,-0.00748687476661274,0.0129150884188558,-0.0374084654731304,-0.0190418577159066,0.0317063295517871,-0.0100587082476127,-0.000746723340382074,-0.0364189785542865,-0.0154615660847676,-0.000467055298278376,-0.00514412631318884,0.0385315793426116,-0.003019803320393,0.0246697797748424,0.00608195615547061,-0.00968786430808923,8.85902139369601e-06,0.00510307074999283,-0.0091573965612889,-0.00168565998761371,0.0107632971791289,-0.00563116348297753,0.00334068193389082,0.0107193139255905,-0.00639739075705246,0.00120613150018029,-0.00286675358573401,-0.00267247994161168,1.37541887601511e-15,5.39499001028787e-16,-8.35703034551827e-16,-2.60208521396521e-18,-1.17093834628434e-17,-2.64274279543342e-17,-5.908901840046e-17,"Soft-bodied_benthic_invertebrates"
"25","Chiloscyllium_indicum",0.181731104826427,-0.0163991978911007,-0.0665995740110097,0.0504882423684794,0.0410524903916661,-0.000770948598571579,0.0540318325868859,-0.0449768785735949,0.0448145744066666,-0.0121527778610808,-0.00717407140647696,-0.0188354460759125,0.0630163531414461,0.0106762580100495,0.0368537596795201,-0.00344307818016982,-0.0177710254966271,-0.033406533957511,0.0141175907202023,0.00383901421008858,0.0273139995639243,-0.0260521625411849,0.00207328983667251,-0.0131240292443158,-0.00960172229196062,0.00135032743966848,-0.0165723289146592,0.0046580096818745,-0.000477153663702905,0.00833205656026814,0.000405742990095765,0.00733241634299918,0.000571855062811693,0.00530462648490238,0.00534474528240471,-2.91823856746198e-15,-7.29017540779253e-16,1.50053580671994e-16,9.06393016197882e-16,1.56558793706907e-16,2.55329611620336e-17,-3.55618312575245e-17,"fish_&_cephalopoda"
"26","Chiloscyllium_punctatum",0.285578719550704,0.101416485374282,0.00696404193640152,0.00803753148333046,-0.0601186503617797,-0.00948925593473891,0.00305768427465949,-0.0147692849254127,-0.0234000992961814,-0.0123115826332267,0.00565029583222741,-0.0289480456245148,-0.0177707417764011,-0.0193345889089129,-0.00184021980649607,-0.0218496103219974,0.0254381800129597,0.0138833968637903,-0.000825010328437635,0.00847023519008228,0.0240356833655084,-0.0134963506659816,0.0151496062356483,0.00405986828419929,0.000179099141195506,0.00247090521465004,-0.012706282771654,0.00335346366733982,-0.00110970894418727,0.000136391239584113,-0.00132108880948763,-0.000569176911627138,0.00138537580996128,0.000625156779887603,0.0018069775457152,1.39970500467879e-15,-2.7300210703185e-16,6.87167336921313e-16,-3.46944695195361e-17,9.80118763926896e-17,3.94107489698481e-17,3.25260651745651e-18,"Soft-bodied_benthic_invertebrates"
"27","Chlamydoselachus_anguineus",-0.187995979010171,0.0432855795414756,-0.00686759569556909,0.0512744767831887,-0.0090610757540081,0.0901879598190107,-0.0513268744166888,-0.0395352427573702,0.0215144044783961,-0.00925927385474505,0.0301208068636192,-0.0122076100377744,0.025210872504366,-0.0104921618160532,0.00296455228110781,0.0121691908051032,0.0404297836623871,0.0138170196388963,-0.00386949853705502,0.00680481218692078,0.000621244513342896,-0.0020838807799588,0.00595577547099643,-0.00680261813107213,0.0105512829416998,-0.00342738719342189,0.00124107418186791,-0.00250564077387469,-0.00137840193588011,-0.00186331330763326,-0.00974606975835583,-0.0137791378992912,0.00570111320842442,0.000145200192496768,0.00246213273873656,-3.52365706057789e-16,-2.94035629178069e-16,2.19659360145563e-16,8.8037216405823e-17,1.65015570652294e-16,-6.65158032819857e-17,2.63461127913978e-17,"fish_&_cephalopoda"
"28","Dalatias_licha",0.129006327353722,-0.101064232504488,-0.137015439416589,-0.183230786525961,0.0245475343702942,0.0920329131856372,-0.0380060124580179,-0.0304069520207405,0.023451536590964,-0.0178992165778578,-0.0101192273441524,-0.0392053649860704,0.0295531724589587,-0.0136173840463928,-0.00704737098111273,-0.0313022814692655,-0.0233024959669729,0.0372324054789582,-0.0247589049639551,-0.0317098018589503,0.00293530633698836,0.0066027137987666,0.0287335466685241,-0.0074513231075222,0.0234206191919998,-0.00974836411539942,0.00353153338085609,-0.00573836793087737,-0.00120154354103601,-0.00328397910963712,0.00788182910861798,-0.000967172835672639,-0.00204625342057887,0.00646268150711303,-0.00102638433913531,-6.50521303491303e-17,-6.63098048692135e-16,3.4477629085039e-17,1.04083408558608e-17,3.51281503885303e-17,-5.36680075380325e-18,1.59377719355369e-17,"fish_&_cephalopoda"
"29","Deania_calcea",-0.00259426882735868,0.0315693900277466,-0.107565350380175,-0.0226074345923686,-0.0899689615233702,-0.0145517854934963,0.0387468214929614,0.0150759560348023,-0.0558198164823081,-0.00783997563846392,-0.00793743569568164,0.0163885490908533,-0.0306964260067593,-0.0057839111265446,0.0324342309193828,-0.00927165422104373,-0.00709093539870654,0.0195894512008924,0.00283074693381669,0.00257157966693602,0.0114313753563274,0.021842559041941,-0.0139369149443945,0.0067931590983111,-0.0121341941125173,0.0111776273664191,0.00378976239146483,0.0050340891164723,-0.00672417058342615,-0.00691777728074495,0.00221000865373911,-0.00740540011547978,-0.000753968193639871,0.00214554436857327,-0.00440625935330004,-1.34983170474445e-15,2.55004350968591e-16,4.47124975933022e-16,2.09034178855205e-16,5.76795555762288e-17,1.79977560632594e-17,2.34187669256869e-17,"fish_&_cephalopoda"
"30","Echinorhinus_brucus",-0.088034962792368,0.0757330106440418,-0.0347058845540409,-0.00464874802885609,-0.0251891852618222,0.0467920652860613,0.0165913425251853,0.0473167554802537,0.0124476570877396,0.000541343092060653,-0.033820661164884,0.00240455629054919,-0.0288458053691496,-0.0242104411159784,0.0267669094287762,0.0242327612589824,-0.0222848490177912,0.0160143763074445,-0.0139173780819247,0.0259019055723595,0.00890658727438736,0.0111101417995456,-0.00350872564619041,0.0105026186495786,0.0008712361485698,0.004167777348969,0.00251961500171619,-0.00472401994996933,-0.00450121482461348,-0.00299327750871131,0.0142096689886951,-0.00954949723180222,-0.00084295933901049,-0.0011003915448626,0.00373074278231628,-1.62847166307323e-15,1.6002824065886e-16,2.89265139619133e-16,1.16226472890446e-16,-7.28583859910259e-17,5.26380154741712e-17,8.23993651088983e-18,"decapoda_&_mollusca"
"31","Etmopterus_spinax",-0.0693871626820325,0.0880147121227728,-0.223890383231419,0.044670908178745,-0.0801275201559782,-0.0146223643522833,0.0307800635157645,-0.00717128842135914,0.00189325105157645,-0.0556351920947236,0.00792447751014133,-0.0177178744817825,-0.0272072341508677,-0.0200570688945592,-0.00559373651534713,-0.0348525604843334,0.00775523428297259,0.00227519092204616,0.0101732170766668,0.0317011576004566,-0.00288541581792819,0.0114722510446443,-0.0103500399917116,0.00372250068105891,0.0153314170688666,0.00551394758692625,-0.00118788951724367,-0.00112608200451098,-0.0042907208258685,-0.0037533480858496,-0.00660129010655343,0.00798676773315504,-0.00277046544199838,0.00105290154752935,0.00178729801513454,-5.51316804708879e-16,-2.68882138776405e-16,-6.19513121358217e-16,-1.99493199737333e-17,7.9580439460436e-17,8.5489341300482e-17,-1.29020058525775e-17,"generalist"
"32","Eucrossorhinus_dasypogon",0.144000794447599,0.0808382990962426,-0.0335314596213258,-0.0253165261784251,0.189602580387285,0.00546977975299288,0.0844547704619169,-0.0299217967004674,-0.00683530387237027,0.0280404594850629,0.000663007447626128,0.000132387218217078,-0.00648637785310268,-0.0114902226685963,0.00825500156734251,-0.00202261877200682,0.0135356865462593,0.00158738114017963,-0.00630627154288502,0.00396898987179865,-0.000206047506918031,-0.00179908061845305,0.00628412443536798,0.00485924183413671,-0.000225080416913061,-0.00491657285624903,0.00590364001164006,0.00652309632277713,-0.00418061449977383,-0.00404825001460614,0.00226119175595221,-0.00195098339007805,-0.00100264679407497,-0.0059081783802069,-0.0043452103057834,5.13911829758129e-16,-6.1105634441283e-16,-6.24500451351651e-17,-2.98372437868011e-16,2.87096735274162e-16,3.07371315899641e-17,-5.87637577487143e-17,"fish_&_cephalopoda"
"33","Euprotomicrus_bispinatus",-0.0103379181598591,-0.138341276418282,-0.0661149283481471,-0.0357981807936799,-0.00955776424855466,0.0204875933090332,-0.161174311894862,0.0278505466860884,-0.0660578870491198,0.079467163422913,0.0235726298099016,0.0329033359841904,-0.0365161135624843,-0.0452110721748375,-0.00469176607486359,-0.0164042290930837,-0.0181594936341366,-0.0470236319337435,0.0155130286783245,0.039218071045759,0.0019567830796597,-0.0318419121962089,0.006583598816663,-0.0186267460120196,0.00657984962126404,0.0071642921325578,0.00295510925780171,0.0163039493719819,-0.00536986748325568,0.00606441507769403,-0.00188965454218703,-0.000421165675731117,0.00245918021172537,-0.000548245612718627,-0.00220601913420924,-8.76035355368288e-17,-2.59427895832332e-15,-5.07406616723216e-16,-3.46944695195361e-17,3.98986399474666e-17,-6.21247844834194e-17,-7.11236625150491e-17,"fish_&_cephalopoda"
"34","Eusphyra_blochii",-0.133226349127748,-0.00821271681844741,0.00420786437478768,0.0178761070778255,-0.0165943871540774,0.0353864686938474,0.0423511152058528,0.0154040744306052,0.0234910004467231,0.00722702789205566,-0.009501250624509,0.00755101687813527,-0.0160884401660331,0.00118703306733344,-0.0191749356963829,-0.0182948291117517,0.00127296788442661,-0.00360962528878058,-0.00513185282545164,-0.00869248522039825,-0.00990895360085515,-0.0135330392443818,-0.0042304571505577,-0.0108510692051989,-0.00450607105013961,0.00512060227769531,-0.00344508452281386,0.00768680579430659,-0.00672799193729475,-0.00659473193520241,0.00174177972351754,0.000732319221245736,0.00164546714240762,0.002226186759599,-0.00376694158722382,-1.47223813001807e-15,-2.0194349664715e-15,1.02663103712652e-15,-1.62196645003831e-16,-3.33934269125535e-17,-8.00547779108984e-17,2.05456311686003e-17,"fish_&_cephalopoda"
