ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
7408b	Chiloscyllium	Chiloscyllium_hasseltii	Hemiscylliidae	Orectolobiformes	f	ad	demersal	2	demersal	2	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Carpenter & Niem 1998 (invertebrates)	
7406b	Chiloscyllium	Chiloscyllium_indicum	Hemiscylliidae	Orectolobiformes	m	ad	demersal	2	demersal	2	generalist	3	fish_&_cephalopoda	1	Rao 1964 (fish 49,5%, cephalopods 41,4%, polychaetes 8,8%, crustaceans 0,3%, n=?)	
ZMA114781	Chiloscyllium	Chiloscyllium_indicum	Hemiscylliidae	Orectolobiformes	f	ad	demersal	2	demersal	2	generalist	3	fish_&_cephalopoda	1	Rao 1964 (fish 49,5%, cephalopods 41,4%, polychaetes 8,8%, crustaceans 0,3%, n=?)	
33022	Chiloscyllium	Chiloscyllium_punctatum	Hemiscylliidae	Orectolobiformes	m	ad	reef	1	reef	1	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Compagno 2001 (bottom invertebrates, possibly small fishes)	
ZMA108683	Chiloscyllium	Chiloscyllium_punctatum	Hemiscylliidae	Orectolobiformes	f	ad	reef	1	reef	1	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Compagno 2001 (bottom invertebrates, possibly small fishes)	
ZMA109153	Chiloscyllium	Chiloscyllium_punctatum	Hemiscylliidae	Orectolobiformes	f	ad	reef	1	reef	1	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Compagno 2001 (bottom invertebrates, possibly small fishes)	
BMNH 1935.2.26.1	Chlamydoselachus	Chlamydoselachus_anguineus	Chlamydoselachidae	Hexanchiformes	f	ad	bathydemersal	4	demersal	2	cephalopoda	5	fish_&_cephalopoda	1	Cortes 1999 (cephalopods 85.2%, n=38)	
ZMA112272	Dalatias	Dalatias_licha	Dalatiidae	Squaliformes	m	ad	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	"Saldanha et al. 1995 (decapoda 0,25 %N, n=1); Cortes 1999 (fish 56.1%, chon 14.6%, n=226); Dunn et al. 2010 (fish 84.6 %IRI, chon 11.8 %IRI, n=19)"	
37981	Deania	Deania_calcea	Centrophoridae	Squaliformes	f	ad	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	"Saldanha et al. 1995 (fish 1,02 %N, decapoda 0,19 %N, n=28);Cortes 1999 (fish 80,2%, n=296); Dunn et al. 2013 (fish 84,3 %IRI, n=133)"	
BMNH 1900.11.6.7	Echinorhinus	Echinorhinus_brucus	Echinorhinidae	Echinorhiniformes	m	ad	bathydemersal	4	demersal	2	decapoda	4	decapoda_&_mollusca	3	Cortes 1999 (fish 66,7%, 33,3% chon, n=2), Akhilesh et al. 2013 (decapoda 68,8 %IRI, teleostei 25,6 %IRIRn=113)	
