state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
7420000	0.000	210226.550	0.000	1	0	0.000	0.001	-0.010	114.47	-41.47	0.00	0.00
7430000	0.000	1316234.074	0.000	2	0	0.000	0.002	-0.041	112.85	-42.67	-0.00	0.37
7440000	0.000	1680545.201	0.000	1	0	0.000	0.005	0.055	111.15	-41.63	0.00	-6.10
7450000	0.000	19131.603	0.000	2	0	0.000	0.003	0.017	115.37	-42.34	-0.04	0.00
7460000	0.000	1619.785	0.000	1	0	0.000	0.002	0.017	116.92	-41.08	-0.67	-0.69
7470000	0.000	61.529	0.000	1	0	0.000	0.005	0.015	116.70	-40.82	0.00	-6.05
7480000	0.000	2.307	0.000	1	0	0.000	0.008	-0.034	118.93	-40.75	-0.00	0.00
7490000	0.000	39.695	0.000	1	0	0.000	0.001	0.017	117.75	-40.80	-0.00	0.00
7500000	0.000	12.629	0.000	1	0	0.000	0.000	-0.008	119.69	-40.75	-0.00	0.00
7510000	0.000	3.126	0.000	1	0	0.000	0.001	-0.026	120.21	-40.75	-0.00	0.00
7520000	0.000	60.432	0.000	1	0	0.000	0.005	0.013	115.91	-40.82	0.00	-5.98
7530000	0.000	46.857	0.000	1	0	0.000	0.000	0.002	119.08	-40.81	0.00	-6.29
7540000	0.000	1897.249	0.000	1	0	0.000	0.004	-0.036	116.29	-41.09	-0.00	0.00
7550000	0.000	57.709	0.000	1	0	0.000	0.000	-0.050	117.46	-40.82	-0.00	0.00
7560000	0.000	0.245	0.000	1	0	0.000	0.003	-0.002	121.00	-40.75	-0.00	0.00
7570000	0.000	0.436	0.000	2	0	0.000	0.001	-0.015	121.95	-41.80	-0.00	0.52
7580000	0.000	3.318	0.000	1	0	0.000	0.004	-0.048	119.26	-40.75	-0.00	0.00
7590000	0.000	0.406	0.000	2	0	0.000	0.002	-0.025	118.15	-41.80	-0.00	0.00
7600000	0.000	1.780	0.000	2	0	0.000	0.005	-0.023	117.66	-41.81	-0.00	0.00
7610000	0.000	1.923	0.000	3	0	0.000	0.003	-0.024	110.31	-43.27	-0.00	0.00
7620000	0.000	0.985	0.000	2	0	0.000	0.001	0.016	109.88	-41.80	0.00	0.00
7630000	0.000	3.820	0.000	3	0	0.000	0.004	0.028	116.80	-43.27	-0.00	0.18
7640000	0.000	8.166	0.000	2	0	0.000	0.008	0.012	114.91	-41.81	-0.01	0.00
7650000	0.000	0.499	0.000	4	0	0.000	0.000	-0.083	115.70	-45.02	0.00	-6.29
7660000	0.000	1.606	0.000	2	0	0.000	0.002	-0.019	115.89	-41.80	-0.00	-0.69
7670000	0.000	0.273	0.000	2	0	0.000	0.014	0.005	117.98	-41.80	0.00	-6.39
7680000	0.000	0.089	0.000	3	0	0.000	0.013	0.003	115.48	-43.27	0.00	0.00
7690000	0.000	0.061	0.000	3	0	0.000	0.004	0.068	111.70	-43.27	0.00	-6.27
7700000	0.000	1.430	0.000	3	0	0.000	0.014	0.016	113.52	-43.27	0.00	0.00
7710000	0.000	0.380	0.000	2	0	0.000	0.010	-0.069	113.94	-41.80	0.00	-6.57
7720000	0.000	0.000	0.000	1	0	0.000	0.001	0.013	123.61	-40.75	0.00	0.00
7730000	0.000	0.000	0.000	1	0	0.000	0.009	0.064	115.45	-40.75	0.00	-0.10
7740000	0.000	0.001	0.000	1	0	0.000	0.008	0.016	119.02	-40.75	-0.00	0.00
7750000	0.000	0.787	0.000	1	0	0.000	0.002	-0.012	120.93	-40.75	-0.00	0.00
7760000	0.000	0.045	0.000	1	0	0.000	0.009	0.013	118.53	-40.75	-0.00	0.00
7770000	0.000	1.970	0.000	2	0	0.000	0.001	-0.035	119.28	-41.81	-0.00	0.00
7780000	0.000	2.687	0.000	2	0	0.000	0.007	-0.049	115.53	-41.81	-0.00	0.45
7790000	0.000	2.907	0.000	2	0	0.000	0.008	-0.010	119.19	-41.81	-0.01	0.00
7800000	0.000	6.895	0.000	2	0	0.000	0.002	0.097	116.39	-41.81	-0.01	0.00
7810000	0.000	0.232	0.000	2	0	0.000	0.005	-0.002	120.73	-41.80	-0.00	0.00
7820000	0.000	2.477	0.000	3	0	0.000	0.010	-0.009	114.88	-43.27	-0.00	-0.69
7830000	0.000	1.048	0.000	3	0	0.000	0.002	-0.028	119.09	-43.27	-0.00	0.00
7840000	0.000	0.334	0.000	3	0	0.000	0.004	-0.092	113.88	-43.27	-0.00	-0.69
7850000	0.000	0.072	0.000	2	0	0.000	0.002	-0.005	117.28	-41.80	0.00	-6.42
7860000	0.000	3.479	0.000	2	0	0.000	0.001	-0.007	118.71	-41.81	0.00	-6.39
7870000	0.000	1.065	0.000	1	0	0.000	0.007	0.020	114.52	-40.75	0.00	-6.23
